year,weighted_gdd,weighted_precip,weighted_vpd,weighted_soil,weighted_heat_stress,precip_sq,usda_yield,trend_yield,yield_deviation
1980,1883.24300412,592.3600025999999,1.557761362130841,0.2834137857943925,21.799999999999997,350890.3726802719,91.0,96.85178743961342,-0.06042002521906967
1981,1676.42219922,842.5200049120001,1.2502175231588784,0.322399925046729,4.8,709839.9586769167,108.9,98.77559508124705,0.1024990526296016
1982,1651.36920158,837.039999344,1.1812773867570092,0.32685560785981305,7.2,700635.9605018034,113.2,100.69940272288113,0.12413774996779062
1983,1872.5822147899999,634.4000018439999,1.5752252319532711,0.28468360506542056,21.6,402463.3623396671,81.1,102.62321036451476,-0.20973043318431503
1984,1674.1366092,817.98001464,1.3658331857271029,0.3112815029813084,6.2,669091.3043504547,106.7,104.54701800614839,0.02059343283923215
1985,1736.31060531,715.0400019599999,1.3799202464205607,0.29683337187850467,7.2,511282.2044029567,118.0,106.47082564778202,0.1082848215186932
1986,1813.44960618,948.6000091999999,1.2620932861,0.3356570082990654,9.8,899841.97745424,119.4,108.39463328941565,0.10153054977546558
1987,1927.48300933,653.5000002740001,1.519599128130841,0.28686218540186914,17.2,427062.2503581181,119.8,110.31844093104974,0.08594718153129396
1988,2016.94481238,399.50000113600004,1.9941846508037382,0.2370437364579439,17.4,159600.25090766404,84.6,112.24224857268337,-0.24627311840410443
1989,1703.2294010599999,695.0600089120001,1.4050314762616822,0.29251047518691586,9.2,483108.4159887496,116.3,114.166056214317,0.018691578359132235
1990,1710.3604102200002,895.58000918,1.218054933682243,0.3553078296168224,4.0,802063.5528428489,118.5,116.08986385595063,0.020760952455246024
1991,1978.55961126,720.440006004,1.4904753826915889,0.2963417036542056,12.0,519033.80225104355,108.6,118.01367149758426,-0.07976763520806959
1992,1505.84460094,713.760003758,1.2864987621775703,0.323928969728972,2.8,509453.3429646202,131.5,119.93747913921834,0.09640456797795773
1993,1574.53920711,1096.5399983,1.0791367360093458,0.37811612269158873,2.8,1202399.967871764,100.7,121.86128678085197,-0.17365060996694673
1994,1782.45640101,615.919991102,1.4577664471962617,0.284941825224299,5.4,379357.4354390878,138.6,123.7850944224856,0.11968246780141618
1995,1744.66680803,751.9400021199999,1.368323331728972,0.313966238728972,10.8,565413.7667882255,113.5,125.70890206411923,-0.09712042555181925
1996,1611.3728035600002,706.440007656,1.2458586389158879,0.3133234052336449,3.4,499057.4844170094,127.1,127.63270970575286,-0.00417377102610283
1997,1641.00560934,628.460000714,1.2735944396635515,0.2980696251588785,11.8,394961.9724974409,126.7,129.55651734738694,-0.022048426477284853
1998,1900.56380846,691.800011128,1.3116056534392524,0.3303864497943925,3.6,478587.255396701,134.4,131.48032498902057,0.022206174279104065
1999,1799.66400488,635.120000164,1.4708864113551403,0.29656880868224295,18.6,403377.41460831935,133.8,133.4041326306542,0.0029674295806248804
2000,1886.42120101,607.900005602,1.462771501457944,0.27763905899999997,2.8,369542.4168109116,136.9,135.32794027228783,0.01161666781116372
2001,1795.3685986300002,739.399996074,1.3593367322523364,0.3081501998878505,11.4,546712.3541942312,138.2,137.25174791392146,0.0069088525318688815
2002,1820.9776072,680.159996492,1.3478002989364486,0.3080996558598131,16.6,462617.62082799745,129.3,139.17555555555555,-0.07095754362994765
2003,1721.5234080599998,625.900000494,1.467378320588785,0.2832591522803738,9.2,391750.81061838917,142.2,141.09936319718918,0.007800437775701719
2004,1692.8466088700002,639.75999753,1.292195040411215,0.3198512400373832,2.0,409292.8544395856,160.4,143.0231708388228,0.12149660127980018
2005,2009.1658092499997,529.62000756,1.690253743448598,0.2665667059065421,13.0,280497.35240785446,147.9,144.94697848045644,0.020373115400551325
2006,1860.5350083399999,617.739996176,1.5265275629439252,0.2758480919158878,18.8,381602.70287552447,149.1,146.87078612209052,0.015178061864912844
2007,2052.79240811,649.3000017700001,1.6180739037663552,0.28427504055140185,8.0,421590.49229852215,150.7,148.79459376372415,0.012805614693914853
2008,1700.70800311,790.840002556,1.3707873323289719,0.3162137437102804,7.800000000000001,625427.909642774,153.3,150.71840140535778,0.017128622454659733
2009,1541.51359809,902.54001108,1.147370544513084,0.3485381223831776,0.0,814578.4716002865,164.7,152.6422090469914,0.07899381847452526
2010,1989.43480649,920.5600085239998,1.3974179954859816,0.34320666228971963,8.0,847430.7292937067,152.8,154.56601668862504,-0.011425646636043483
2011,1876.11261207,662.6000100419999,1.4419153419626167,0.3099460691962617,19.0,439038.7733076584,147.2,156.48982433025913,-0.05936375972059189
2012,2086.97622082,499.419993384,1.9453221369252338,0.2509356348878504,26.200000000000003,249420.32979167462,123.4,158.41363197189276,-0.22102663474129045
2013,1847.7756091800002,676.4000050340001,1.498945101242056,0.29790985258878505,8.6,457516.9668099953,158.1,160.33743961352639,-0.01395456743552512
2014,1661.78980263,806.46000991,1.2357023553271027,0.33085654289719624,2.5999999999999996,650377.7475840374,171.0,162.26124725516001,0.05385606786997064
2015,1865.5588097300001,762.20000002,1.4229514294859813,0.32366097761682244,5.199999999999999,580948.840030488,168.4,164.18505489679364,0.025671917007646438
2016,2027.8768076300003,676.680001948,1.432442187317757,0.30411541691588784,7.4,457895.82503634534,174.6,166.10886253842773,0.05111790744824299
2017,1918.31705184,700.2800054659999,1.5685581950728973,0.289888978317757,13.4,490392.08605546085,176.6,168.03267018006136,0.05098609580361967
2018,1966.12786168,800.660005236,1.3960998316261684,0.3181151485514018,8.2,641056.4439845115,176.4,169.956477821695,0.03791277779400121
2019,1840.3614604000002,823.060008724,1.3646038001962617,0.3084170548411215,14.600000000000001,677427.777960751,167.5,171.88028546332862,-0.025484513546861494
2020,1826.58195118,543.860001494,1.5530916020747665,0.2627827104205608,16.6,295783.7012250537,171.4,173.80409310496225,-0.013832200738278264
2021,2027.5550589200002,696.2000130260001,1.615571063224299,0.2514078300934579,11.0,484694.45813740266,176.7,175.72790074659633,0.005531843544898683
2022,1891.2843600800002,623.42000394,1.5692631461682243,0.2727763229252337,11.0,388652.50131254963,173.3,177.65170838822996,-0.024495730593932567
2023,1998.37286063,548.159997368,1.7852153914953273,0.23495677557009345,8.600000000000001,300479.3827144857,177.3,179.5755160298636,-0.01267163854055227
2024,1983.59196444,649.47999405,1.6104885704299066,0.2781963344579439,6.8,421824.262671188,183.1,181.49932367149722,0.008819186188263151
